tag_id,tag_name,tag_type,pi_name,data_type,ui_display_name,description,active,created_on,created_by,modified_on,modified_by
1,testiasng_tag,inferred,IZ.LIMS.IZ-800E1_C5 and heavier,test,testing_tag_ui_name,Testing_tag_description,0,2024-12-12 08:22:07,0,,
2,VHP_Steam_Temperature,pi,UN.ETH.12TI2107.PV,real,VHP Steam Temperature,VHP Steam Temperature,1,2024-12-12 08:22:07,0,,
3,HP_Steam_Pressure,pi,UN.UO.70PI0012A.PV,real,HP Steam Pressure,HP Steam Pressure,1,2024-12-12 08:22:07,0,,
4,HP_Steam_Temperature,pi,UN.UO.70TI0007.PV,real,HP Steam Temperature,HP Steam Temperature,1,2024-12-12 08:22:07,0,,
5,testing_tag,inferred,UN.UO.70PC0007A.PV,test,testing_tag_ui_name,Testing_tag_description,0,2024-12-12 08:22:07,0,,
6,MP_Steam_Temperature,pi,UN.UO.70TC0005.PV,real,MP Steam Temperature,MP Steam Temperature,1,2024-12-12 08:22:07,0,,
7,LP_Steam_Pressure,pi,UN.UO.70PI0024A.PV,real,LP Steam Pressure,LP Steam Pressure,1,2024-12-12 08:22:07,0,,
8,LP_Steam_Temperature,pi,UN.UO.70TI0006.PV,real,LP Steam Temperature,LP Steam Temperature,1,2024-12-12 08:22:07,0,,
9,BFW_Pressure,pi,UN.UO.71PI1021A.PV,real,BFW Pressure,BFW Pressure,1,2024-12-12 08:22:07,0,,
10,BFW_Temperature,pi,UN.UO.71TI1079.PV,real,BFW Temperature,BFW Temperature,1,2024-12-12 08:22:07,0,,
11,ETH_HPS_Demand_old,pi,UN.ETH.17FC7064.PV,real,ETH HP Steam Demand,ETH HPS Demand,1,2024-12-12 08:22:07,0,,
12,EOEG_1_HPS_Demand,inferred,,real,EOEG 1 HP Steam Demand,EOEG 1 HPS Demand,1,2024-12-12 08:22:07,0,,
13,EOEG_2_HPS_Demand,inferred,,real,EOEG 2 HP Steam Demand,EOEG 2 HPS Demand,1,2024-12-12 08:22:07,0,,
14,EOEG_3_HPS_Demand,inferred,,real,EOEG 3 HP Steam Demand,EOEG 3 HPS Demand,1,2024-12-12 08:22:07,0,,
15,EOEG_1_MPS_Demand,pi,UN.EG1.MPS_Demand_EO_CALC_OUTPUT,real,EOEG 1 MPS Demand,EOEG 1 MPS Demand,1,2024-12-12 08:22:07,0,,
16,EOEG_2_MPS_Demand,pi,UN.EG2.MPS_Demand_EO_CALC_OUTPUT,real,EOEG 2 MPS Demand,EOEG 2 MPS Demand,1,2024-12-12 08:22:07,0,,
17,EOEG_3_MPS_Demand,pi,UN.EG3.MPS_Demand_EO_CALC_OUTPUT,real,EOEG 3 MPS Demand,EOEG 3 MPS Demand,1,2024-12-12 08:22:07,0,,
18,ETH_LPS_Demand,pi,UN.ETH.LPS_Demand_EO_CALC_OUTPUT,real,ETH LPS Demand,ETH LPS Demand,1,2024-12-12 08:22:07,0,,
19,EOEG_1_LPS_Demand,inferred,,real,EOEG 1 LPS Demand,EOEG 1 LPS Demand,1,2024-12-12 08:22:07,0,,
20,EOEG_2_LPS_Demand,pi,UN.EG2.LPS_Demand_EO_CALC_OUTPUT,real,EOEG 2 LPS Demand,EOEG 2 LPS Demand,1,2024-12-12 08:22:07,0,,
